titulo,autores,afiliaciones,palabras_clave,tematica,referencias,id_articulo,id
"Nueva Época de la revista Ciencias Matemáticas: creativa, interactiva y dinámica",Damian Valdés Santiago,"Departamento Matemática Aplicada, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba.",,Revista Ciencias Matemáticas,"Valdés Santiago, D. (2024). Nueva Época de la revista Ciencias Matemáticas: creativa, interactiva y dinámica [Editorial]. Ciencias Matemáticas, 36(Único), i-vii. DOI: https://doi.org/10.5281/zenodo.14209816.|https://revistas.uh.cu/rcm/article/view/10381.","RCM+Vol.36,+No.Unico,+2022-2023,+pp.i-vii",
"Del Prado Arza, N. (2024). Para Pensar la Matemática y con la Matemática. Acertijos y sus respuestas",Néstor del Prado Arza,"Editorial Citmatel, La Habana",,"Matemáticas, Juegos, Cognición","Del Prado Arza, N. (2024). Para Pensar la Matemática y con la Matemática. Acertijos y sus respuestas. Editorial Citmatel, La Habana. ISBN: 978-959-315-391-1|García Rojas, P. (2024). Del Prado Arza, N. (2024). Para Pensar la Matemática y con la Ma- tematica. Acertijos y sus respuestas. Editorial Citmatel, La Habana. ISBN: 978-959-315-391-1 [Reseña de libro]. Ciencias Matemáticas, 37(1), 99. DOI: https://doi.org/10.5281/zenodo.15293064. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9061.","RCM+Vol.37,+No.1,+2024,+p.99",
Reseña de Libro / Book Review,"Hernández, J. F.|Miret, E.","Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Introducción al Álgebra,"Hernández, J. F. y Miret, E. (2022). Introducción al Álgebra. Editorial Universitaria, La Habana. ISBN 978-959-16-4725-2|Hernández, J. F. y Miret, E. (2022). Introduction to Algebra. Editorial Universitaria, Havana. ISBN 978-959-16-4725-2","RCM+Vol.37,+No.1,+2024,+p.100",
"Ejercicios de cálculo, de orientación y divergentes utilizados en los contenidos de Geometría Analítica",Roxana Cabrera Puig|Alicia Robbio Marrero,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",ejercicios|Geogebra|geometría,Ejercicios en Geometría Analítica utilizando Geogebra,"Cabrera Puig, R.,& Robbio Marrero, A. (2024). Ejercicios de cálculo, de orientación y di-vergentes utilizados en los contenidos de Geometría Analítica. Ciencias Matemáticas, 37(1), 1–7. DOI: https://doi.org/10.5281/zenodo.14252295. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9477.","RCM+Vol.37,+No.1,+2024,+pp.1-7",
Mirada contextual a los asistentes matemáticos desde el triángulo didáctico de Chevallard,Lissette María Pedroso Carracedo|Tania Diez Fumero|Abelardo López Domínguez,"Departamento Matemática, Instituto Técnico Militar ‘José Martí’, La Habana, Cuba|Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba",asistentes matemáticos|didáctica|enseñanza de la matemática|technology|Chevallard triangle,Uso de asistentes matemáticos en el proceso de enseñanza y aprendizaje de Matemática Superior,"Pedroso Carracedo, L.M., Diez Fumero, T.,& López Domínguez, A. (2024). Mirada contextual a los asistentes matemáticos desde el triángulo didáctico de Chevallard. Ciencias Matemáticas, 37(1), 9–14. DOI: https://doi.org/10.5281/zenodo.14278047. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9478.","RCM+Vol.37,+No.1,+2024,+pp.9-14",
Grafo para la evaluación automática de soluciones vecinas en problemas de enrutamiento de vehículos,Fernando Raul Rodriguez Flores|Jose Jorge Rodríguez Salgado,"Departamento Matemática Aplicada, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba.|Scalian Consulting Spain SL, España.",grafo de evaluación|evaluación automática de soluciones vecinas|problema de enrutamiento de vehículos,"Enrutamiento de Vehículos, Evaluación Automática de Soluciones Vecinas, Grafo de Evaluación","Rodriguez Flores, F.R.,& Rodriguez Salgado, J.J. (2024). Grafo para la evaluación automática de soluciones vecinas en problemas de enrutamiento de vehículos. Ciencias Matemáticas, 37(1), 15–29. DOI: https://doi.org/10.5281/zenodo.14333111.|Citar como: Rodriguez Flores, F.R.,& Rodriguez Salgado, J.J. (2024). Grafo para la evaluación automática de soluciones vecinas en problemas de enrutamiento de vehículos. Ciencias Matemáticas, 37(1), 15–29. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9737.","RCM+Vol.37,+No.1,+2024,+pp.15-29",
Segmentación automática del hígado en imágenes de tomografía computarizada,Lázaro Ramón Caraballo Rodríguez|Marlen Pérez Díaz|Rubén Orozco Morales,"Departamento de Automática, Facultad de Ingeniería Eléctrica, Universidad Central ‘Marta Abreu’ de las Villas, Villa Clara, Cuba",hígado|procesamiento digital de imágenes|segmentación|tomografía computarizada de abdomen,Segmentación automática del hígado en tomografía computarizada,"Caraballo Rodríguez, L.R.; Pérez Díaz, M.;& Orozco Morales, R. (2024). Segmentación au-tomática del hígado en imágenes de tomografía computarizada. Ciencias Matemáticas, 37(1), 31–40. DOI: https://doi.org/10.5281/zenodo.14577046. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9343.","RCM+Vol.37,+No.1,+2024,+pp.31-40",
Retos pos-Covid de la educación a distancia en matemática para la formación de ingenieros,Tania Diez Fumero|Abelardo López Domínguez|Alisbet Martínez Bello,"Departamento de Matemática, Instituto Técnico Militar ‘José Martí’, La Habana, Cuba|Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba|Departamento de Electrónica, Instituto Técnico Militar ‘José Martí’, La Habana, Cuba",educación híbrida|aprendizaje autónomo|matemática superior,Educación a distancia en matemáticas para la formación de ingenieros,"Diez Fumero, T., López Domínguez, A.,& Martínez Bello A. (2024). Retos pos-Covid de la educación a distancia en matemática para la formación de ingenieros. Ciencias Matemáticas, 37(1), 41–48. DOI: https://doi.org/10.5281/zenodo.14592249. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9476.","RCM+Vol.37,+No.1,+2024,+pp.41-48",
Introducción y solución del problema de los reducidos catalanes,Luis Enrique Fernández Machado,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba.",cardinal|congruencia|ecuación|máximo|potencia,"Matemáticas, teoría de números","Fernández Machado, L.E. (2024). Introducción y solución del problema de los reducidos catalanes. Ciencias Matemáticas, 37(1), 49–59. DOI: https://doi.org/10.5281/zenodo.14744243. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9749.","RCM+Vol.37,+No.1,+2024,+pp.49-59",
Extracción de conocimiento mediante traducción automatizada a Cypher con aprendizaje zero-shot,Rolando Sánchez Ramos,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba.",aprendizaje con cero muestras de entrenamiento|modelos de lenguajes a gran escala|inteligencia artificial,"Inteligencia Artificial, Lenguaje Natural, Traducción Automatizada, Cypher, Aprendizaje Zero-shot","Sánchez Ramos, R. (2024). Extracción de conocimiento mediante traducción automatizada a Cypher con aprendizaje zero-shot. Ciencias Matemáticas, 37(1), 61–68. DOI: https://doi.org/10.5281/zenodo.14876950. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9192.","RCM+Vol.37,+No.1,+2024,+pp.61-68",
Ecosistema de ciencia de datos para el análisis de largos supervivientes en cáncer,Jorge Luis Palomino Hernández|Patricia Lorenzo-Luaces Álvarez|Lizet Sánchez Valdés,"Dirección de investigaciones clínicas, Centro de Inmunología Molecular, La Habana, Cuba",cáncer|ciencia de datos|larga supervivencia,Análisis de largo supervivientes en cáncer utilizando un ecosistema de ciencia de datos basado en R,"Palomino Hernández, J.L.; Lorenzo-Luaces Álvarez, P.;& Sánchez Valdés, L. (2024). Ecosistema de ciencia de datos para el análisis de largos supervivientes en cáncer. Ciencias Matemáticas, 37(1), 69–76. DOI: https://doi.org/10.5281/zenodo.15046727. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/10012.|Otros autores y referencias si existieran","RCM+Vol.37,+No.1,+2024,+pp.69-76",
Modelación de la propagación de procesos de contagios influidos por la distancia de contacto,Dagoberto Acosta Iglesias|Miguel Enrique Iglesias Martínez|Milton Henry Perea,"Facultad de Ciencias de la Tierra, Universidad Estatal Amazónica, Puyo, Ecuador|Grupo de Modelización Interdisciplinar, InterTech, Instituto Universitario de Matemática Pura y Aplicada, Universitat Politècnica de València, España|Departamento de Matemática y Física, Universidad Tecnológica del Chocó Diego Luis Córdoba, Chocó, Colombia",contagiados|logístico|modelo,Modelación de la propagación de procesos de contagios,"Acosta Iglesias, D., Iglesias Martínez, M.,& Henry Perea, M. (2024). Modelación de la propagación de procesos de contagios influidos por la distancia de contacto. Ciencias Matemáticas, 37(1), 77–84. DOI: https://doi.org/10.5281/zenodo.15292953. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/10043.","RCM+Vol.37,+No.1,+2024,+pp.77-84",
Teorema de los ceros de Hilbert: aplicaciones de sus versiones débil y fuerte,Jolbin José Mairena Aráuz|Isaura Lisbeth Hudiel Fuentes|Cliffor Jerry Herrera-Castrillo,"Centro Universitario Regional de Estelí. Universidad Nacional Autónoma de Nicaragua, Managua, Nicaragua",álgebra conmutativa|aplicaciones|teorema de los ceros de Hilbert|versión débil y fuerte,"Teorema de los ceros de Hilbert, aplicaciones","Mairena Aráuz, J.J., Hudiel Fuentes, I.L.,& Herrera-Castrillo, C.J. (2024). Teorema de los ceros de Hilbert: aplicaciones de sus versiones débil y fuerte. Ciencias Matemáticas, 37(1), 85–95. DOI: https://doi.org/10.5281/zenodo.15292987. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9954.","RCM+Vol.37,+No.1,+2024,+pp.85-95",
Olimpiadas Luis Campistrus e IGO: Difusión y resultados en el contexto matemático cubano,Nelson Tomás Hernández Reyes|Carlos Jiménez Tejeda|Ernesto Alejandro López Caldalso|Juan Raúl Delgado Rubi,"Centro de Estudios de Matemática, Instituto de Ciencias Básicas, Universidad Tecnológica de La Habana ‘José Antonio Echeverría’|Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana",,Olimpiadas matemáticas en Cuba,"Hernández Reyes, N.T.; Jiménez Tejeda, C.; López Caldalso, E.A.; Delgado Rubi, R. (2024). Olimpiadas Luis Campistrous e IGO: Difusión y resultados en el contexto matemático cubano [Divulgación]. Ciencias Matemáticas, 37(1), 97–98. DOI: https://doi.org/10.5281/zenodo.15293034. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/11176.","RCM+Vol.37,+No.1,+2024,+pp.97-98 (1)",
Olimpiadas Luis Campistrus e IGO: Difusión y resultados en el contexto matemático cubano,Nelson Tomás Hernández Reyes|Carlos Jiménez Tejeda|Ernesto Alejandro López Caldalso|Juan Raúl Delgado Rubi,"Centro de Estudios de Matemática, Instituto de Ciencias Básicas, Universidad Tecnológica de La Habana ‘José Antonio Echeverría’, La Habana, Cuba|Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Olimpiadas matemáticas en Cuba,"Hernández Reyes, N.T.; Jiménez Tejeda, C.; López Caldalso, E.A.; Delgado Rubi, R. (2024). Olimpiadas Luis Campistrous e IGO: Difusión y resultados en el contexto matemático cubano [Divulgación]. Ciencias Matemáticas, 37(1), 97–98.|https://doi.org/10.5281/zenodo.15293034|https://revistas.uh.cu/rcm/article/view/11176","RCM+Vol.37,+No.1,+2024,+pp.97-98",
Jornada Científica Estudiantil (JCE MatCom 2023),,"Facultad de Matemática y Computación, Universidad de La Habana",,"Evento académico en la Facultad de Matemática y Computación, Universidad de La Habana","Comité Editorial. (2024). Jornada Científica Estudiantil (JCE MatCom 2023), Facultad de Mate-matica y Computación, Universidad de La Habana [Actualidad]. Ciencias Matemáticas, 37(1), 101–102. DOI: https://doi.org/10.5281/zenodo.15293093. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/11174.","RCM+Vol.37,+No.1,+2024,+pp.101-102",
Conferencia Europea y Latinoamericana de Mecánica Teórica y Aplicada (ELACTAM 2024),Reinaldo Rodríguez Ramos,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Mecánica Teórica y Aplicada,"Rodríguez Ramos, R. (2024). Conferencia Europea y Latinoamericana de Mecánica Teó- rica y Aplicada (ELACTAM 2024), La Habana [Actualidad]. Ciencias Matemáticas, 37(1), 103–104. DOI: https://doi.org/10.5281/zenodo.15293113. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/11173.","RCM+Vol.37,+No.1,+2024,+pp.103-104 (1)",
Conferencia Europea y Latinoamericana de Mecánica Teórica y Aplicada (ELACTAM 2024),"Rodríguez Ramos, R.","Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Mecánica Teórica y Aplicada,"Rodríguez Ramos, R. (2024). Conferencia Europea y Latinoamericana de Mecánica Teó- rica y Aplicada (ELACTAM 2024), La Habana [Actualidad]. Ciencias Matemáticas, 37(1), 103–104. DOI: https://doi.org/10.5281/zenodo.15293113. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/11173.","RCM+Vol.37,+No.1,+2024,+pp.103-104",
A la memoria de Aurelio Quintana Valdés [Obituario],M. M. Álvarez Pérez,"Fue Metodóloga Nacional de Matemática, Ministerio de Educación, Cuba.",,"Matemáticas, educación, obituario","Álvarez Pérez, M. M. (2024). A la memoria de Aurelio Quintana Valdés [Obituario]. Cien-ciencias Matemáticas, 37(1), 105-106. DOI: https://doi.org/10.5281/zenodo.15293132. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/11175.","RCM+Vol.37,+No.1,+2024,+pp.105-106",
Evaluación de habilidades cognitivas de diversos modelos de lenguajes a gran escala,Kevin Talavera Díaz|Alberto Fernández Oliva|Suilán Estévez Velarde,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba",habilidades cognitivas|procesamiento de lenguaje natural|LLM,"Inteligencia Artificial, Modelos de Lenguajes a Gran Escala (LLM), Evaluación de habilidades cognitivas","Talavera Díaz, K., Fernández Oliva, A., & Estévez Velarde, S. (2024). Evaluación de habilidades cognitivas de diversos modelos de lenguajes a gran escala. Ciencias Matemáticas, 36(Único), 51–56. DOI: https://doi.org/10.5281/zenodo.. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9044.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+51-56 (1)",
Evaluación de habilidades cognitivas de diversos modelos de lenguajes a gran escala,Kevin Talavera Díaz|Alberto Fernández Oliva|Suilán Estévez Velarde,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba",habilidades cognitivas|procesamiento de lenguaje natural|LLM,"Inteligencia Artificial, Large Scale Language Models, Cognitive Abilities Evaluation","Talavera Díaz, K., Fernández Oliva, A., & Estévez Velarde, S. (2024). Evaluación de habilidades cognitivas de diversos modelos de lenguajes a gran escala. Ciencias Matemáticas, 36(Único), 51–56. DOI: https://doi.org/10.5281/zenodo.. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9044.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+51-56",
Propuesta didáctica para la enseñanza de matrices y conceptos asociados mediante el cifrado de Hill,Guillermo Enrique Ramírez Montes,"Departamento de Educación Matemática, Universidad de Costa Rica, San José, Costa Rica",cifrado de Hill|hoja de cálculo de Excel|matrices|propuesta didáctica,Enseñanza de matrices y conceptos asociados mediante el cifrado de Hill,"Ramirez Montes, G.E. (2024). Propuesta didáctica para la enseñanza de matrices y conceptos asociados mediante el cifrado de Hill. Ciencias Matemáticas, 36(Único), 57–69. DOI: https://doi.org/10.5281/zenodo.13961116. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9240.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+57-69 (1)",
Propuesta didáctica para la enseñanza de matrices y conceptos asociados mediante el cifrado de Hill,Guillermo Enrique Ramírez Montes,"Departamento de Educación Matemática, Universidad de Costa Rica, San José, Costa Rica",cifrado de Hill|hoja de cálculo de Excel|matrices|propuesta didáctica,Enseñanza de matrices y conceptos asociados mediante el cifrado de Hill,"Ramirez Montes, G.E. (2024). Propuesta didáctica para la enseñanza de matrices y conceptos asociados mediante el cifrado de Hill. Ciencias Matemáticas, 36(Único), 57–69. DOI: https://doi.org/10.5281/zenodo.13961116. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9240.|Otras referencias aquí si existieran","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+57-69",
Pirámides instrumentales en la enseñanza y aprendizaje del límite funcional,Adriana Díaz Cordero|Valentina Badía Albanés,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",dificultades de aprendizaje|límite funcional|pirámides instrumentales,Enseñanza y aprendizaje del límite funcional en Matemática,"Díaz Cordero, A., Badía Albanés, V. (2024). Pirámides instrumentales en la enseñanza y aprendi-     zaje del límite funcional. Ciencias Matemáticas, 36(Único), 71–78. DOI: https://doi.org/10.5281/zenodo.13968250.|Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9454.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+71-78",
Meta-aprendizaje para AutoML heterogéneo,Lia de la Concepción Zerquera Ferrer|Alberto Fernández Oliva|Alejandro Piad Morffis|Suilan Estévez Velarde,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba",aprendizaje de máquina|AutoML|meta-aprendizaje,Meta-learning para AutoML heterogéneo,"Zerquera Ferrer, L.C., Fernández Oliva, A., Piad Morffis, A.,& Estévez Velarde, S. (2024). Meta-aprendizaje para AutoML heterogéneo. Ciencias Matemáticas, 36(Único), 79–85. DOI: https://doi.org/10.5281/zenodo.14164788. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9130.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+79-85 (1)",
Meta-aprendizaje para AutoML heterogéneo,Lia de la Concepción Zerquera Ferrer|Alberto Fernández Oliva|Alejandro Piad Morffis|Suilan Estévez Velarde,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba",aprendizaje de máquina|AutoML|meta-aprendizaje,Meta-learning para AutoML heterogéneo,"Zerquera Ferrer, L.C., Fernández Oliva, A., Piad Morffis, A.,& Estévez Velarde, S. (2024). Meta-aprendizaje para AutoML heterogéneo. Ciencias Matemáticas, 36(Único), 79–85. DOI: https://doi.org/10.5281/zenodo.14164788. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9130.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+79-85",
Estudio matemático de la diabetes en gestantes y no gestantes,Jorly Alberto Pérez Pérez|Sandy Sánchez Domínguez|Adolfo Arsenio Fernández García|Tahiry Gómez Hernández|Leticia Cristina Bequer Mendoza,"Departamento de Matemática, Universidad Central Marta Abreu de las Villas|Departamento de Matemática, Escuela Iterarmas General José Maceo Grajales|Departamento de Matemática, Universidad de Oriente|Unidad de Investigaciones Biomédicas, Universidad de Ciencias Médicas de Villa Clara",ajuste de curvas|diabetes mellitus|modelos lineales|pronóstico de concentraciones,Matemáticas aplicadas a la diabetes,"Pérez Pérez, J.A., Sánchez Domínguez, S., Fernández García, A.A., Gómez Hernández, T.,& Bequer Mendoza, L.C. (2024). Estudio matemático de la diabetes en gestantes y no gestantes. Cien-ciencias Matemáticas, 36(Único), 87–98. DOI: https://doi.org/10.5281/zenodo.14187591. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9075.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+87-98",
"Flores López, W. O. (2019). Actitudes hacia las matemáticas en la resolución de problemas y su relación con la investigación propia","García Rojas, P.","Centro de Salud Mental, Ministerio de Salud Pública, La Habana, Cuba",,Actitudes hacia las matemáticas en la resolución de problemas,"Flores López, W. O. (2019). Actitudes hacia las matemáticas en la resolución de problemas y su relación con la investigación propia. URACCAN, Managua. ISBN 978-99964-23-15-4|García Rojas, P. (2024). Flores López, W. O. (2019). Actitudes hacia las matemáticas en la resolución de problemas y su relación con la investigación propia. URACCAN, Managua. ISBN 978-99964-23-15-4 [Reseña de libro]. Ciencias Matemáticas, 36(Único), 99. DOI: https://doi.org/10.5281/zenodo.14192214.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+99",
Reseña de Libro / Book Review,Carlos Sánchez Fernández,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba.",,Análisis Funcional Lineal,"Roldán Inguanzo, R. (2022). Análisis Funcional lineal. Ciudad Educativa. La Habana, Cuba. ISBN: 978-1-5129-8888-8|Sánchez Fernández, C. (2024). Roldán Inguanzo, R. (2022). Análisis Funcional lineal. Editorial Ciudad Educativa. La Habana, Cuba. ISBN: 978-1-5129-8888-8 [Reseña de libro]. Ciencias Ma-tematicas, 36(Único), 100-101. DOI: https://doi.org/10.5281/zenodo.14192326. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9058.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+100-101",
"Taller Internacional sobre Álgebra Computacional en la Computación Científica (CASC), La Habana, 2023",Valentina Badía Albanés,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Álgebra Computacional en la Computación Científica,"Badía Albanés, V. (2024). Taller Internacional sobre Álgebra Computacional en la Compu-    Ciencia (CASC), La Habana, 2023 [Actualidad]. Ciencias Matemáticas, 36(Único), 103-104. DOI: https://doi.org/10.5281/zenodo.14192441. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/10379.","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+103-104",
"XVIII Congreso Internacional de Matemática y Computación, Compumat 2023",Luis Ramiro Piñeiro Díaz,"Instituto de Criptografía, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba.",,Congreso Internacional de Matemática y Computación,"Piñeiro Díaz, L.R. (2024). XVIII Congreso Internacional de Matemática y Computación, Compumat 2023, La Habana, 2023 [Actualidad]. Ciencias Matemáticas, 36(Único), 105-106. DOI: https://doi.org/10.5281/zenodo.14198470. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/10380.|https://www.reduc.edu.cu/blog/2023/11/21/camaguey-subsede-del-congreso-internacional-de-matematica-y-computacion","RCM+Vol+36,+No+Unico,+2022-2023,+pp.+105-106",
Los roles y el aprendizaje de la programación orientada a objetos mediante la colaboración en línea para la solución de problemas,Jorge Fardales Pérez|Miguel Salvat Quesada|Ernesto Roberto Fuentes Garí,"Departamento de Ingeniería Informática, Universidad José Martí Pérez de Sancti – Spíritus, Cuba|Departamento de Educación a Distancia, Universidad de Cienfuegos Carlos Rafael Rodríguez, Cuba",Ambiente de solución colaborativa en línea de problemas|aprendizaje colaborativo asistido por computadora|Web 2.0,Aprendizaje colaborativo y programación orientada a objetos,"Bruner, J. (1973)|REFS|Edwards, D. (2007)|Jonassen, D. H. (2003)|[Soller, 2001]|[Webb, 1995]|[Baghaei, 2007]|[Edwards, 2007]|Piaget, J. (1978)|Vygostky, L. S. (1978)|[Hurme, 2010]|[O’Neil, 2003]",RCM-Vol26-No2-2012-Articulo01-PP01-10,
Herramienta para la ejecución de algoritmos de aprendizaje reforzado aplicados a la solución de problemas de secuenciación,Juliett M. Suárez Ferreira|Víctor M. García Martínez|Yailén Martínez Jiménez|Rafael Bello Pérez,"Universidad Central ‘Marta Abreu’ de Las Villas, Cuba.",Aprendizaje Reforzado|Q-Learning|Secuenciación,Aprendizaje reforzado aplicado a la solución de problemas de secuenciación,,RCM-Vol26-No2-2012-Articulo02-PP11-20,
DISEÑO Y UTILIZACIÓN DE UN SISTEMA INFORMÁTICO PARA EL CONTROL DE PORTADORES ENERGÉTICOS,Sissi Pérez Del Pino|Lourdes Tarifa Lozano,Universidad de Matanzas ¨Camilo Cienfuegos¨ (UMCC),,Sistemas informáticos para el control de portadores energéticos,,RCM-Vol26-No2-2012-Articulo03-PP21-30,
ID del Artículo: RCM-Vol26-No2-2012-Articulo05-PP43-53,Martha Beatriz Boggiano Castillo|Ariel Calderón Valdés|Alain Pérez Alonso|Ramiro Pèrez Vazquez,Universidad Marta Abreu de Las Villas,reglas de negocio|reglas en lenguaje técnico|reglas en SQL,Implementación automática de reglas de negocio en formato recursos de bases de datos,,RCM-Vol26-No2-2012-Articulo05-PP43-53,
RCM-Vol26-No2-2012-Articulo07-PP63-72,Michel Artiles Egüe|Leticia Arco García|Damny Magdaleno Guevara,"Departamento de Ciencia de la Computación, Universidad Central ‘Marta Abreu’ de Las Villas, Cuba",gestión documental|gestión del conocimiento|automatización de la información,Sistemas gestores de información en dominios textuales,,RCM-Vol26-No2-2012-Articulo07-PP63-72,
Estimación temprana del tiempo de desarrollo en proyectos de software utilizando técnicas de Inteligencia Artificial,Yaimara Granados Hondares|Gheisa Lucía Ferreira Lorenzo|Jarvin Antón Vargas|Luis Quintero Domínguez,Universidad Central ‘Marta Abreu’ de Las Villas,Estimación temporal|variables de estimación|gestión de proyectos de software,Estimación temporal en tareas de implementación utilizando Redmine y algoritmos del WEKA,,RCM-Vol26-No2-2012-Articulo08-PP73-80,
SIMPLER: Desde el MERX hasta las Bases de Datos Relacionales,Javier Guillot Jiménez|Víctor Manuel Mendiola Lau|Benny Jon Robaina|Daniel Alejandro Mesejo León|Omar Salas García|Haydée Guillot Jiménez,"Universidad de La Habana, Facultad de Matemática y Computación",Bases de Datos|Modelo Relacional|Diagramas|Diseño Correcto,"Computación, Bases de Datos, Enseñanza de la Computación",,RCM-Vol26-No2-2012-Articulo09-PP81-85,
RCM-Vol26-No2-2012-Articulo10-PP87-96,Pedro Y. Piñero Pérez|Surayne Torres López|Manuel Vázquez Acosta|Henrik Pestano Pino|Michaell González Jorrín|Marielis Izquierdo Matias|Jose A. Lugo García|Javier Menéndez|Ernesto A. Mederos Franqueiro|Felix N. Abelardo|Ana D. Pérez|Pedro R. Piñero,"Laboratorio de Gestión de Proyectos, Dirección Técnica de Producción, Universidad de las Ciencias Informáticas",Gestión de Proyectos|Dirección Integrada|Gestión de contenidos,Gestión integrada de proyectos para la producción,,RCM-Vol26-No2-2012-Articulo10-PP87-96,
Comparación de métodos de regresión en la predicción de dióxido de carbono,Gladys Linares|Adrián Saldaña|Marcela Rivera|Hortensia J. Cervantes,Benemérita Universidad Autónoma de Puebla,gases de efecto invernadero|multicolinealidad|regresión paso a paso|regresión con componentes principales|regresión por mínimos cuadrados parciales,"Regresión, gases de efecto invernadero, dióxido de carbono, multicolinealidad",,Texto+final+Vol.+25-10-16,
Texto+final+Vol.+25-17-25,Idania Urrutia Romaní|Virginia Álvarez Suárez,"Facultad de Matemática y Computación, Universidad de La Habana",competencias|competencias cognitivas|TIC|análisis Mmatemático,Competencias básicas en la asignatura Análisis Matemático debe contribuir a desarrollar en los estudiantes de Ciencia de la Computación,"CMES, 1998|CRESALC, 2008",Texto+final+Vol.+25-17-25,
Generalizaciones y caracterizaciones del concepto de métrica,Otilio Mederos Anoceto|Rita Roldán Inguanzo,"Universidad Autónoma de Coahuila, México|Universidad de La Habana, Cuba",,Matemáticas: Métrica y generalizaciones,,Texto+final+Vol.+25-26-38,
Data Warehousing in Soluciones de Inteligencia de Negocios,Lucina García Hernández|Lis Velázquez Vidal|Mijail Veliz Monteagudo,"Facultad de Matemática y Computación, Universidad de La Habana, Cuba|División de Sistemas de Gestión Empresarial DATYS, Cuba|División de Turismo DATYS, Cuba",,Data Warehousing en Inteligencia de Negocios,,Texto+final+Vol.+25-39-53,
